atc_code;atc_name;ddd;uom;adm_r;note;TRAD
A02AA04;magnesium hydroxide;3;g;O;NA;HIDRÓXIDO DE MAGNESIO
A02AA05;magnesium silicate;NA;NA;NA;NA;SILICATO DE MAGNESIO
A02AA10;combinations;NA;NA;NA;NA;COMBINACIONES
A02AB;Aluminium compounds;NA;NA;NA;NA;COMPUESTOS DE ALUMINIO
A02AB01;aluminium hydroxide;NA;NA;NA;NA;HIDRÓXIDO DE ALUMINIO
A02AB02;algeldrate;5;g;O;NA;ALGELDRATE
A02AB03;aluminium phosphate;NA;NA;NA;NA;FOSFATO DE ALUMINIO
A02AB04;dihydroxialumini sodium carbonate;4;g;O;NA;CARBONATO DE SODIO DE DIHIDROXIALUMINA
A02AB05;aluminium acetoacetate;NA;NA;NA;NA;ACETOACETATO DE ALUMINIO
A02AB06;aloglutamol;NA;NA;NA;NA;ALOGLUTAMOL
A02AB07;aluminium glycinate;NA;NA;NA;NA;GLICINATO DE ALUMINIO
A02AB10;combinations;NA;NA;NA;NA;COMBINACIONES
A02AC;Calcium compounds;NA;NA;NA;NA;COMPUESTOS DE CALCIO
A02AC01;calcium carbonate;NA;NA;NA;NA;CARBONATO DE CALCIO
A02AC02;calcium silicate;6;g;O;NA;SILICATO DE CALCIO
A02AC10;combinations;NA;NA;NA;NA;COMBINACIONES
A02AD;Combinations and complexes of aluminium, calcium and magnesium compounds;NA;NA;NA;NA;COMBINACIONES Y COMPLEJOS DE COMPUESTOS DE ALUMINIO, CALCIO Y MAGNESIO
A02AD01;ordinary salt combinations;NA;NA;NA;Standard dose: 10 tablets or 50 ml mixt;COMBINACIONES DE SALES ORDINARIAS
A02AD02;magaldrate;NA;NA;NA;NA;MAGALDRO
A02AD03;almagate;NA;NA;NA;NA;ALMAGATE
A02AD04;hydrotalcite;NA;NA;NA;NA;HIDROTALCITA
A02AD05;almasilate;NA;NA;NA;NA;ALMASILATE
A02AF;Antacids with antiflatulents;NA;NA;NA;NA;ANTIÁCIDOS CON ANTIFLATULENTOS
A02AF01;magaldrate and antiflatulents;NA;NA;NA;NA;MAGALDRO Y ANTIFLATULENTES
A02AF02;ordinary salt combinations and antiflatulents;NA;NA;NA;NA;COMBINACIONES DE SALES ORDINARIAS Y ANTIFLATULENTOS
A02AG;Antacids with antispasmodics;NA;NA;NA;NA;ANTIÁCIDOS CON ANTIESPASMÓDICOS
A02AH;Antacids with sodium bicarbonate;NA;NA;NA;NA;ANTIÁCIDOS CON BICARBONATO SÓDICO
A02AX;Antacids, other combinations;NA;NA;NA;NA;ANTIÁCIDOS, OTRAS COMBINACIONES
A02B;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);NA;NA;NA;NA;MEDICAMENTOS PARA LA ÚLCERA PÉPTICA Y LA ENFERMEDAD POR REFLUJO GASTROESOFÁGICO (EGRD)
A02BA;H2-receptor antagonists;NA;NA;NA;NA;ANTAGONISTAS DE LOS RECEPTORES H2
A02BA01;cimetidine;0.8;g;O;NA;CIMETIDINA
A02BA01;cimetidine;0.8;g;P;NA;CIMETIDINA
A02BA02;ranitidine;0.3;g;O;NA;RANITIDINA
A02BA02;ranitidine;0.3;g;P;NA;RANITIDINA
A02BA03;famotidine;40;mg;O;NA;FAMOTIDINA
A02BA03;famotidine;40;mg;P;NA;FAMOTIDINA
A02BA04;nizatidine;0.3;g;O;NA;NIZATIDINA
A02BA04;nizatidine;0.3;g;P;NA;NIZATIDINA
A02BA05;niperotidine;NA;NA;NA;NA;NIPEROTIDINA
A02BA06;roxatidine;0.15;g;O;NA;ROXATIDINA
A02BA07;ranitidine bismuth citrate;0.8;g;O;NA;CITRATO DE RANITIDINA Y BISMUTO
A02BA08;lafutidine;20;mg;O;NA;LAFUTIDINA
A02BA51;cimetidine, combinations;NA;NA;NA;NA;CIMETIDINA, COMBINACIONES
A02BA53;famotidine, combinations;NA;NA;NA;NA;FAMOTIDINA, COMBINACIONES
A02BB;Prostaglandins;NA;NA;NA;NA;PROSTAGLANDINAS
A02BB01;misoprostol;0.8;mg;O;NA;MISOPROSTOL
A02BB02;enprostil;70;mcg;O;NA;ENPROSTIL
A02BC;Proton pump inhibitors;NA;NA;NA;NA;INHIBIDORES DE LA BOMBA DE PROTONES
A02BC01;omeprazole;20;mg;O;NA;OMEPRAZOL
A02BC01;omeprazole;20;mg;P;NA;OMEPRAZOL
A02BC02;pantoprazole;40;mg;O;NA;PANTOPRAZOL
A02BC02;pantoprazole;40;mg;P;NA;PANTOPRAZOL
A02BC03;lansoprazole;30;mg;O;NA;LANSOPRAZOL
A02BC04;rabeprazole;20;mg;O;NA;RABEPRAZOL
A02BC05;esomeprazole;30;mg;O;NA;ESOMEPRAZOL
A02BC05;esomeprazole;30;mg;P;NA;ESOMEPRAZOL
A02BC06;dexlansoprazole;30;mg;O;NA;DEXLANSOPRAZOL
A02BC07;dexrabeprazole;NA;NA;NA;NA;DEXRABEPRAZOL
A02BC08;vonoprazan;NA;NA;NA;NA;VONOPRAZAN
A02BC09;tegoprazan;NA;NA;NA;NA;TEGOPRAZAN
A02BC51;omeprazole, combinations;NA;NA;NA;NA;OMEPRAZOL, COMBINACIONES
A02BC53;lansoprazole, combinations;NA;NA;NA;NA;LANSOPRAZOL, COMBINACIONES
A02BC54;rabeprazole, combinations;NA;NA;NA;NA;RABEPRAZOL, COMBINACIONES
A02BD;Combinations for eradication of Helicobacter pylori;NA;NA;NA;NA;COMBINACIONES PARA LA ERRADICACIÓN DE HELICOBACTER PYLORI
A02BD01;omeprazole, amoxicillin and metronidazole;NA;NA;NA;NA;OMEPRAZOL, AMOXICILINA Y METRONIDAZOL
A02BD02;lansoprazole, tetracycline and metronidazole;NA;NA;NA;NA;LANSOPRAZOL, TETRACICLINA Y METRONIDAZOL
A02BD03;lansoprazole, amoxicillin and metronidazole;NA;NA;NA;NA;LANSOPRAZOL, AMOXICILINA Y METRONIDAZOL
A02BD04;pantoprazole, amoxicillin and clarithromycin;NA;NA;NA;NA;PANTOPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD05;omeprazole, amoxicillin and clarithromycin;NA;NA;NA;NA;OMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD06;esomeprazole, amoxicillin and clarithromycin;NA;NA;NA;NA;ESOMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD07;lansoprazole, amoxicillin and clarithromycin;NA;NA;NA;NA;LANSOPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD08;bismuth subcitrate, tetracycline and metronidazole;NA;NA;NA;NA;SUBCITRATO DE BISMUTO, TETRACICLINA Y METRONIDAZOL
A02BD09;lansoprazole, clarithromycin and tinidazole;NA;NA;NA;NA;LANSOPRAZOL, CLARITROMICINA Y TINIDAZOL
A02BD10;lansoprazole, amoxicillin and levofloxacin;NA;NA;NA;NA;LANSOPRAZOL, AMOXICILINA Y LEVOFLOXACINO
A02BD11;pantoprazole, amoxicillin, clarithromycin and metronidazole;NA;NA;NA;NA;PANTOPRAZOL, AMOXICILINA, CLARITROMICINA Y METRONIDAZOL
A02BD12;rabeprazole, amoxicillin and clarithromycin;NA;NA;NA;NA;RABEPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD13;rabeprazole, amoxicillin and metronidazole;NA;NA;NA;NA;RABEPRAZOL, AMOXICILINA Y METRONIDAZOL
A02BD14;vonoprazan, amoxicillin and clarithromycin;NA;NA;NA;NA;VONOPRAZAN, AMOXICILINA Y CLARITROMICINA
A02BD15;vonoprazan, amoxicillin and metronidazole;NA;NA;NA;NA;VONOPRAZAN, AMOXICILINA Y METRONIDAZOL
A02BD16;omeprazole, amoxicillin and rifabutin;NA;NA;NA;NA;OMEPRAZOL, AMOXICILINA Y RIFABUTINA
A02BD17;vonoprazan and amoxicillin;NA;NA;NA;NA;VONOPRAZÁN Y AMOXICILINA
A02BX;Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD);NA;NA;NA;NA;OTROS FÁRMACOS PARA LA ÚLCERA PÉPTICA Y LA ENFERMEDAD POR REFLUJO GASTROESOFÁGICO (ERGE)
A02BX01;carbenoxolone;0.15;g;O;NA;CARBENOXOLONA
A02BX02;sucralfate;4;g;O;NA;SUCRALFATO
A02BX03;pirenzepine;0.1;g;O;NA;PIRENZEPINA
A02BX03;pirenzepine;20;mg;P;NA;PIRENZEPINA
A02BX04;methiosulfonium chloride;NA;NA;NA;NA;CLORURO DE METIOSULFONIO
A02BX05;bismuth subcitrate;0.48;g;O;NA;SUBCITRATO DE BISMUTO
A02BX06;proglumide;1.2;g;O;NA;PROGLUMIDA
A02BX07;gefarnate;NA;NA;NA;NA;GEFARNATE
A02BX08;sulglicotide;NA;NA;NA;NA;SULGLICOTIDA
A02BX09;acetoxolone;NA;NA;NA;NA;ACETOXOLONA
A02BX10;zolimidine;NA;NA;NA;NA;ZOLIMIDINA
A02BX11;troxipide;NA;NA;NA;NA;TROXIPIDE
A02BX12;bismuth subnitrate;NA;NA;NA;NA;SUBNITRATO DE BISMUTO
A02BX13;alginic acid;NA;NA;NA;NA;ÁCIDO ALGÍNICO
A02BX14;rebamipide;0.3;g;O;NA;REBAMIPIDE
A02BX15;teprenone;NA;NA;NA;NA;TEPRENONA
A02BX16;irsogladine;NA;NA;NA;NA;IRSOGLADINE
A02BX51;carbenoxolone, combinations excl. psycholeptics;NA;NA;NA;NA;CARBENOXOLONA, COMBINACIONES EXCL. PSICOLÉPTICOS
A02BX71;carbenoxolone, combinations with psycholeptics;NA;NA;NA;NA;CARBENOXOLONA, COMBINACIONES CON PSICOLÉPTICOS
A02BX77;gefarnate, combinations with psycholeptics;NA;NA;NA;NA;GEFARNATE, COMBINACIONES CON PSICOLÉPTICOS
A02X;OTHER DRUGS FOR ACID RELATED DISORDERS;NA;NA;NA;NA;OTROS FÁRMACOS PARA LOS TRASTORNOS RELACIONADOS CON EL ÁCIDO
A03;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;NA;NA;NA;NA;FÁRMACOS PARA LOS TRASTORNOS GASTROINTESTINALES FUNCIONALES
A03A;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;NA;NA;NA;NA;FÁRMACOS PARA LOS TRASTORNOS GASTROINTESTINALES FUNCIONALES
A03AA;Synthetic anticholinergics, esters with tertiary amino group;NA;NA;NA;NA;ANTICOLINÉRGICOS SINTÉTICOS, ÉSTERES CON GRUPO AMINO TERCIARIO
A03AA01;oxyphencyclimine;20;mg;O;NA;OXIFENCIMINA
A03AA03;camylofin;0.2;g;O;NA;CAMYLOFIN
A03AA03;camylofin;0.2;g;R;NA;CAMYLOFIN
A03AA04;mebeverine;0.3;g;O;NA;MEBEVERINE
A03AA05;trimebutine;0.6;g;O;NA;TRIMEBUTINA
A03AA06;rociverine;NA;NA;NA;NA;ROCIVERINA
A03AA07;dicycloverine;80;mg;O;NA;DICICLOVERINA
A03AA07;dicycloverine;80;mg;P;NA;DICICLOVERINA
A03AA08;dihexyverine;NA;NA;NA;NA;DIHEXYVERINE
A03AA09;difemerine;NA;NA;NA;NA;DIFEMERINA
A03AA30;piperidolate;NA;NA;NA;NA;PIPERIDOLATO
A03AB;Synthetic anticholinergics, quaternary ammonium compounds;NA;NA;NA;NA;ANTICOLINÉRGICOS SINTÉTICOS, COMPUESTOS DE AMONIO CUATERNARIO
A03AB01;benzilone;70;mg;O;NA;BENCILONA
A03AB02;glycopyrronium bromide;3;mg;O;NA;BROMURO DE GLICOPIRRONIO
A03AB02;glycopyrronium bromide;0.3;mg;P;NA;BROMURO DE GLICOPIRRONIO
A03AB02;glycopyrronium bromide;3;mg;R;NA;BROMURO DE GLICOPIRRONIO
A03AB03;oxyphenonium;25;mg;O;NA;OXIFENONIO
A03AB04;penthienate;15;mg;O;NA;PENTHIENADO
A03AB05;propantheline;60;mg;O;NA;PROPANTHELINE
A03AB05;propantheline;60;mg;P;NA;PROPANTHELINE
A03AB06;otilonium bromide;NA;NA;NA;NA;BROMURO DE OTILONIO
A03AB07;methantheline;0.15;g;O;NA;METHANTHELINE
A03AB08;tridihexethyl;0.125;g;O;NA;TRIDIHEXETILO
A03AB09;isopropamide;10;mg;O;NA;ISOPROPAMIDA
A03AB10;hexocyclium;0.15;g;O;NA;HEXOCYCLIUM
A03AB11;poldine;12;mg;O;NA;POLDINA
A03AB12;mepenzolate;0.1;g;O;NA;MEPENZOLATO
A03AB13;bevonium;0.2;g;O;NA;BEVONIUM
A03AB14;pipenzolate;20;mg;O;NA;PIPENZOLATO
A03AB15;diphemanil;NA;NA;NA;NA;DIPHEMANIL
A03AB16;(2-benzhydryloxyethyl)diethyl-methylammonium iodide;0.3;g;O;NA;YODURO DE DIETILO-METILAMONIO DE (2-BENZHIDROXIETIL)
A03AB17;tiemonium iodide;NA;NA;NA;NA;YODURO DE TIEMONIO
A03AB18;prifinium bromide;NA;NA;NA;NA;BROMURO DE PRIFINIO
A03AB19;timepidium bromide;NA;NA;NA;NA;BROMURO DE TIMEPIDIUM
A03AB21;fenpiverinium;NA;NA;NA;NA;FENPIVERINIO
A03AB53;oxyphenonium, combinations;NA;NA;NA;NA;OXIFENONIO, COMBINACIONES
A03AC;Synthetic antispasmodics, amides with tertiary amines;NA;NA;NA;NA;ANTIESPASMÓDICOS SINTÉTICOS, AMIDAS CON AMINAS TERCIARIAS
A03AC02;dimethylaminopropionylphenothiazine;NA;NA;NA;NA;DIMETILAMINOPROPIONILFENOTIACINA
A03AC04;nicofetamide;NA;NA;NA;NA;NICOFETAMIDA
A03AC05;tiropramide;NA;NA;NA;NA;TIROPRAMIDA
A03AD;Papaverine and derivatives;NA;NA;NA;NA;PAPAVERINA Y DERIVADOS
A03AD01;papaverine;0.1;g;O;NA;PAPAVERINA
A03AD01;papaverine;0.1;g;P;NA;PAPAVERINA
A03AD02;drotaverine;0.1;g;O;NA;DROTAVERINA
A03AD02;drotaverine;0.1;g;P;NA;DROTAVERINA
A03AD30;moxaverine;50;mg;O;NA;MOXAVERINA
A03AE;Serotonin receptor antagonists;NA;NA;NA;NA;ANTAGONISTAS DE LOS RECEPTORES DE SEROTONINA
A03AE01;alosetron;1;mg;O;NA;ALOSETRON
A03AE03;cilansetron;NA;NA;NA;NA;CILANSETRÓN
A03AX;Other drugs for functional gastrointestinal disorders;NA;NA;NA;NA;OTROS FÁRMACOS PARA LOS TRASTORNOS GASTROINTESTINALES FUNCIONALES
A03AX01;fenpiprane;NA;NA;NA;NA;FENPIPRANE
A03AX02;diisopromine;NA;NA;NA;NA;DIISOPROMINA
A03AX03;chlorbenzoxamine;0.15;g;O;NA;CLORBENZOXAMINA
A03AX04;pinaverium;0.15;g;O;NA;PINAVERIUM
A03AX05;fenoverine;NA;NA;NA;NA;FENOVERINA
A03AX06;idanpramine;NA;NA;NA;NA;IDANPRAMINA
A03AX07;proxazole;NA;NA;NA;NA;PROXAZOL
A03AX08;alverine;NA;NA;NA;NA;ALVERINE
A03AX09;trepibutone;NA;NA;NA;NA;TREPIBUTONA
A03AX10;isometheptene;NA;NA;NA;NA;ISOMETHEPTENE
A03AX11;caroverine;NA;NA;NA;NA;CAROVERINA
A03AX12;phloroglucinol;NA;NA;NA;NA;FLOROGLUCINOL
A03AX13;silicones;0.5;g;O;NA;SILICONAS
A03AX14;valethamate;NA;NA;NA;NA;SERVICIO DE VALETHAMATE
A03AX15;menthae piperitae aetheroleum;NA;NA;NA;NA;MENTHAE PIPERITAE AETHEROLEUM
A03AX30;trimethyldiphenylpropylamine;50;mg;O;NA;TRIMETILDIFENILPROPILAMINA
A03AX30;trimethyldiphenylpropylamine;50;mg;P;NA;TRIMETILDIFENILPROPILAMINA
A03AX58;alverine, combinations;NA;NA;NA;NA;ALVERINE, COMBINACIONES
A03B;BELLADONNA AND DERIVATIVES, PLAIN;NA;NA;NA;NA;BELLADONNA Y DERIVADOS, SIMPLES
A03BA;Belladonna alkaloids, tertiary amines;NA;NA;NA;NA;ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS
A03BA01;atropine;1.5;mg;O;NA;ATROPINA
A03BA01;atropine;1.5;mg;P;NA;ATROPINA
A03BA03;hyoscyamine;1.2;mg;O;NA;HYOSCYAMINE
A03BA04;belladonna total alkaloids;1;mg;O;NA;ALCALOIDES TOTALES DE BELLADONA
A03BB;Belladonna alkaloids, semisynthetic, quaternary ammonium compounds;NA;NA;NA;NA;ALCALOIDES DE BELLADONA, COMPUESTOS SEMISINTÉTICOS DE AMONIO CUATERNARIO
A03BB01;butylscopolamine;60;mg;O;NA;BUTILESCOPOLAMINA
A03BB01;butylscopolamine;60;mg;P;NA;BUTILESCOPOLAMINA
A03BB01;butylscopolamine;60;mg;R;NA;BUTILESCOPOLAMINA
A03BB02;methylatropine;3;mg;O;NA;METILATROPINA
A03BB03;methylscopolamine;12;mg;O;NA;METILESCOPOLAMINA
A03BB03;methylscopolamine;12;mg;P;NA;METILESCOPOLAMINA
A03BB04;fentonium;60;mg;O;NA;FENTONIO
A03BB05;cimetropium bromide;NA;NA;NA;NA;BROMURO DE CIMETROPIO
A03BB06;homatropine methylbromide;NA;NA;NA;NA;BROMURO DE METILHOMATROPINA
A03C;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS;NA;NA;NA;NA;ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03CA;Synthetic anticholinergic agents in combination with psycholeptics;NA;NA;NA;NA;AGENTES ANTICOLINÉRGICOS SINTÉTICOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03CA01;isopropamide and psycholeptics;NA;NA;NA;NA;LA ISOPROPAMIDA Y LOS PSICOLÉPTICOS
A03CA02;clidinium and psycholeptics;NA;NA;NA;NA;CLIDINIUM Y PSICOLÉPTICOS
A03CA03;oxyphencyclimine and psycholeptics;NA;NA;NA;NA;OXIFENCIMINA Y PSICOLÉPTICOS
A03CA04;otilonium bromide and psycholeptics;NA;NA;NA;NA;BROMURO DE OTILONIO Y PSICOLÉPTICOS
A03CA05;glycopyrronium bromide and psycholeptics;NA;NA;NA;NA;BROMURO DE GLICOPIRRONIO Y PSICOLÉPTICOS
A03CA06;bevonium and psycholeptics;NA;NA;NA;NA;BEVONIUM Y PSICOLÉPTICOS
A03CA07;ambutonium and psycholeptics;NA;NA;NA;NA;EL AMBUTONIO Y LOS PSICOLÉPTICOS
A03CA08;diphemanil and psycholeptics;NA;NA;NA;NA;DIPHEMANIL Y PSICOLÉPTICOS
A03CA09;pipenzolate and psycholeptics;NA;NA;NA;NA;PIPENZOLATO Y PSICOLÉPTICOS
A03CA30;emepronium and psycholeptics;NA;NA;NA;NA;EMEPRONIO Y PSICOLÉPTICOS
A03CA34;propantheline and psycholeptics;NA;NA;NA;NA;PROPANTHELINE Y PSICOLÉPTICOS
A03CB;Belladonna and derivatives in combination with psycholeptics;NA;NA;NA;NA;BELLADONA Y DERIVADOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03CB01;methylscopolamine and psycholeptics;NA;NA;NA;NA;METILESCOPOLAMINA Y PSICOLÉPTICOS
A03CB02;belladonna total alkaloids and psycholeptics;NA;NA;NA;NA;BELLADONA ALCALOIDES TOTALES Y PSICOLÉPTICOS
A03CB03;atropine and psycholeptics;NA;NA;NA;NA;ATROPINA Y PSICOLÉPTICOS
A03CB04;homatropine methylbromide and psycholeptics;NA;NA;NA;NA;EL METILBROMURO DE HOMATROPINA Y LOS PSICOLÉPTICOS
A03CB31;hyoscyamine and psycholeptics;NA;NA;NA;NA;LA HIOSCIAMINA Y LOS PSICOLÉPTICOS
A03CC;Other antispasmodics in combination with psycholeptics;NA;NA;NA;NA;OTROS ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03D;ANTISPASMODICS IN COMBINATION WITH ANALGESICS;NA;NA;NA;NA;ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS
A03DA;Synthetic anticholinergic agents in combination with analgesics;NA;NA;NA;NA;AGENTES ANTICOLINÉRGICOS SINTÉTICOS EN COMBINACIÓN CON ANALGÉSICOS
A03DA01;tropenzilone and analgesics;NA;NA;NA;NA;TROPENZILONA Y ANALGÉSICOS
A03DA02;pitofenone and analgesics;NA;NA;NA;NA;PITOFENONA Y ANALGÉSICOS
A03DA03;bevonium and analgesics;NA;NA;NA;NA;BEVONIUM Y ANALGÉSICOS
A03DA04;ciclonium and analgesics;NA;NA;NA;NA;CICLONIO Y ANALGÉSICOS
A03DA05;camylofin and analgesics;NA;NA;NA;NA;CAMYLOFIN Y ANALGÉSICOS
A03DA06;trospium and analgesics;NA;NA;NA;NA;TROSPIUM Y ANALGÉSICOS
A03DA07;tiemonium iodide and analgesics;NA;NA;NA;NA;YODURO DE TIEMONIO Y ANALGÉSICOS
A03DB;Belladonna and derivatives in combination with analgesics;NA;NA;NA;NA;BELLADONA Y DERIVADOS EN COMBINACIÓN CON ANALGÉSICOS
A03DB04;butylscopolamine and analgesics;NA;NA;NA;NA;BUTILESCOPOLAMINA Y ANALGÉSICOS
A03DC;Other antispasmodics in combination with analgesics;NA;NA;NA;NA;OTROS ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS
A03E;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS;NA;NA;NA;NA;ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS EN COMBINACIÓN CON OTROS FÁRMACOS
A03EA;Antispasmodics, psycholeptics and analgesics in combination;NA;NA;NA;NA;COMBINACIÓN DE ANTIESPASMÓDICOS, PSICOLÉPTICOS Y ANALGÉSICOS
A03ED;Antispasmodics in combination with other drugs;NA;NA;NA;NA;ANTIESPASMÓDICOS EN COMBINACIÓN CON OTROS FÁRMACOS
A03F;PROPULSIVES;NA;NA;NA;NA;PROPULSORES
A03FA;Propulsives;NA;NA;NA;NA;PROPULSORES
A03FA01;metoclopramide;30;mg;O;NA;METOCLOPRAMIDA
A03FA01;metoclopramide;30;mg;P;NA;METOCLOPRAMIDA
A03FA01;metoclopramide;30;mg;R;NA;METOCLOPRAMIDA
A03FA02;cisapride;30;mg;O;NA;CISAPRIDA
A03FA02;cisapride;30;mg;R;NA;CISAPRIDA
A03FA03;domperidone;30;mg;O;NA;DOMPERIDONA
A03FA03;domperidone;30;mg;P;NA;DOMPERIDONA
A03FA03;domperidone;0.12;g;R;NA;DOMPERIDONA
A03FA04;bromopride;20;mg;O;NA;BROMOPRIDA
A03FA04;bromopride;20;mg;P;NA;BROMOPRIDA
A03FA05;alizapride;0.15;g;O;NA;ALIZAPRIDE
A03FA05;alizapride;0.15;g;P;NA;ALIZAPRIDE
A03FA06;clebopride;NA;NA;NA;NA;CLEBOPRIDE
A03FA07;itopride;0.15;g;O;NA;ITOPRIDE
A03FA08;cinitapride;NA;NA;NA;NA;CINITAPRIDA
A03FA09;mosapride;NA;NA;NA;NA;MOSAPRIDE
A03FA10;acotiamide;NA;NA;NA;NA;ACOTIAMIDA
A04;ANTIEMETICS AND ANTINAUSEANTS;NA;NA;NA;NA;ANTIEMÉTICOS Y ANTINAUSEABUNDOS
